"Date","Depth","Site","Plot","Year","Value"
2011-07-23,60,"IN_Randolph","SW",2011,0.36
2011-07-23,100,"IN_Randolph","SW",2011,0.42
2011-07-24,10,"IN_Randolph","SW",2011,0.318
2011-07-24,20,"IN_Randolph","SW",2011,0.372
2011-07-24,40,"IN_Randolph","SW",2011,0.411
2011-07-24,60,"IN_Randolph","SW",2011,0.369
2011-07-24,100,"IN_Randolph","SW",2011,0.42
2011-07-25,10,"IN_Randolph","SW",2011,0.321
2011-07-25,20,"IN_Randolph","SW",2011,0.374
2011-07-25,40,"IN_Randolph","SW",2011,0.403
2011-07-25,60,"IN_Randolph","SW",2011,0.363
2011-07-25,100,"IN_Randolph","SW",2011,0.418
2011-07-26,10,"IN_Randolph","SW",2011,0.309
2011-07-26,20,"IN_Randolph","SW",2011,0.371
2011-07-26,40,"IN_Randolph","SW",2011,0.396
2011-07-26,60,"IN_Randolph","SW",2011,0.359
2011-07-26,100,"IN_Randolph","SW",2011,0.416
2011-07-27,10,"IN_Randolph","SW",2011,0.299
2011-07-27,20,"IN_Randolph","SW",2011,0.371
2011-07-27,40,"IN_Randolph","SW",2011,0.393
2011-07-27,60,"IN_Randolph","SW",2011,0.358
2011-07-27,100,"IN_Randolph","SW",2011,0.415
2011-07-28,10,"IN_Randolph","SW",2011,0.291
2011-07-28,20,"IN_Randolph","SW",2011,0.371
2011-07-28,40,"IN_Randolph","SW",2011,0.391
2011-07-28,60,"IN_Randolph","SW",2011,0.357
2011-07-28,100,"IN_Randolph","SW",2011,0.415
2011-07-29,10,"IN_Randolph","SW",2011,0.279
2011-07-29,20,"IN_Randolph","SW",2011,0.366
2011-07-29,40,"IN_Randolph","SW",2011,0.386
2011-07-29,60,"IN_Randolph","SW",2011,0.357
2011-07-29,100,"IN_Randolph","SW",2011,0.414
2011-07-30,10,"IN_Randolph","SW",2011,0.278
2011-07-30,20,"IN_Randolph","SW",2011,0.363
2011-07-30,40,"IN_Randolph","SW",2011,0.379
2011-07-30,60,"IN_Randolph","SW",2011,0.356
2011-07-30,100,"IN_Randolph","SW",2011,0.415
2011-07-31,10,"IN_Randolph","SW",2011,0.274
2011-07-31,20,"IN_Randolph","SW",2011,0.361
2011-07-31,40,"IN_Randolph","SW",2011,0.368
2011-07-31,60,"IN_Randolph","SW",2011,0.356
2011-07-31,100,"IN_Randolph","SW",2011,0.416
2011-08-01,10,"IN_Randolph","SW",2011,0.268
2011-08-01,20,"IN_Randolph","SW",2011,0.356
2011-08-01,40,"IN_Randolph","SW",2011,0.354
2011-08-01,60,"IN_Randolph","SW",2011,0.356
2011-08-01,100,"IN_Randolph","SW",2011,0.416
2011-08-02,10,"IN_Randolph","SW",2011,0.265
2011-08-02,20,"IN_Randolph","SW",2011,0.352
2011-08-02,40,"IN_Randolph","SW",2011,0.345
2011-08-02,60,"IN_Randolph","SW",2011,0.354
2011-08-02,100,"IN_Randolph","SW",2011,0.417
2011-08-03,10,"IN_Randolph","SW",2011,0.259
2011-08-03,20,"IN_Randolph","SW",2011,0.345
2011-08-03,40,"IN_Randolph","SW",2011,0.339
2011-08-03,60,"IN_Randolph","SW",2011,0.351
2011-08-03,100,"IN_Randolph","SW",2011,0.418
2011-08-04,10,"IN_Randolph","SW",2011,0.257
2011-08-04,20,"IN_Randolph","SW",2011,0.339
2011-08-04,40,"IN_Randolph","SW",2011,0.332
2011-08-04,60,"IN_Randolph","SW",2011,0.347
2011-08-04,100,"IN_Randolph","SW",2011,0.419
2011-08-05,10,"IN_Randolph","SW",2011,0.254
2011-08-05,20,"IN_Randolph","SW",2011,0.336
2011-08-05,40,"IN_Randolph","SW",2011,0.328
2011-08-05,60,"IN_Randolph","SW",2011,0.343
2011-08-05,100,"IN_Randolph","SW",2011,0.419
2011-08-06,10,"IN_Randolph","SW",2011,0.252
2011-08-06,20,"IN_Randolph","SW",2011,0.333
2011-08-06,40,"IN_Randolph","SW",2011,0.324
2011-08-06,60,"IN_Randolph","SW",2011,0.338
2011-08-06,100,"IN_Randolph","SW",2011,0.419
2011-08-07,10,"IN_Randolph","SW",2011,0.312
2011-08-07,20,"IN_Randolph","SW",2011,0.363
2011-08-07,40,"IN_Randolph","SW",2011,0.366
2011-08-07,60,"IN_Randolph","SW",2011,0.345
2011-08-07,100,"IN_Randolph","SW",2011,0.421
2011-08-08,10,"IN_Randolph","SW",2011,0.314
2011-08-08,20,"IN_Randolph","SW",2011,0.363
2011-08-08,40,"IN_Randolph","SW",2011,0.379
2011-08-08,60,"IN_Randolph","SW",2011,0.352
2011-08-08,100,"IN_Randolph","SW",2011,0.423
2011-08-09,10,"IN_Randolph","SW",2011,0.324
2011-08-09,20,"IN_Randolph","SW",2011,0.367
2011-08-09,40,"IN_Randolph","SW",2011,0.389
2011-08-09,60,"IN_Randolph","SW",2011,0.355
2011-08-09,100,"IN_Randolph","SW",2011,0.425
2011-08-10,10,"IN_Randolph","SW",2011,0.296
2011-08-10,20,"IN_Randolph","SW",2011,0.355
2011-08-10,40,"IN_Randolph","SW",2011,0.372
2011-08-10,60,"IN_Randolph","SW",2011,0.349
2011-08-10,100,"IN_Randolph","SW",2011,0.421
2011-08-11,10,"IN_Randolph","SW",2011,0.28
2011-08-11,20,"IN_Randolph","SW",2011,0.344
2011-08-11,40,"IN_Randolph","SW",2011,0.361
2011-08-11,60,"IN_Randolph","SW",2011,0.345
2011-08-11,100,"IN_Randolph","SW",2011,0.419
2011-08-12,10,"IN_Randolph","SW",2011,0.269
2011-08-12,20,"IN_Randolph","SW",2011,0.337
2011-08-12,40,"IN_Randolph","SW",2011,0.351
2011-08-12,60,"IN_Randolph","SW",2011,0.341
2011-08-12,100,"IN_Randolph","SW",2011,0.418
2011-08-13,10,"IN_Randolph","SW",2011,0.275
2011-08-13,20,"IN_Randolph","SW",2011,0.337
2011-08-13,40,"IN_Randolph","SW",2011,0.345
2011-08-13,60,"IN_Randolph","SW",2011,0.338
2011-08-13,100,"IN_Randolph","SW",2011,0.417
2011-08-14,10,"IN_Randolph","SW",2011,0.322
2011-08-14,20,"IN_Randolph","SW",2011,0.36
2011-08-14,40,"IN_Randolph","SW",2011,0.383
2011-08-14,60,"IN_Randolph","SW",2011,0.35
2011-08-14,100,"IN_Randolph","SW",2011,0.423
2011-08-15,10,"IN_Randolph","SW",2011,0.31
2011-08-15,20,"IN_Randolph","SW",2011,0.355
2011-08-15,40,"IN_Randolph","SW",2011,0.376
2011-08-15,60,"IN_Randolph","SW",2011,0.348
2011-08-15,100,"IN_Randolph","SW",2011,0.421
2011-08-16,10,"IN_Randolph","SW",2011,0.29
2011-08-16,20,"IN_Randolph","SW",2011,0.345
2011-08-16,40,"IN_Randolph","SW",2011,0.364
2011-08-16,60,"IN_Randolph","SW",2011,0.343
2011-08-16,100,"IN_Randolph","SW",2011,0.417
2011-08-17,10,"IN_Randolph","SW",2011,0.272
2011-08-17,20,"IN_Randolph","SW",2011,0.337
2011-08-17,40,"IN_Randolph","SW",2011,0.356
2011-08-17,60,"IN_Randolph","SW",2011,0.34
2011-08-17,100,"IN_Randolph","SW",2011,0.415
2011-08-18,10,"IN_Randolph","SW",2011,0.258
2011-08-18,20,"IN_Randolph","SW",2011,0.333
2011-08-18,40,"IN_Randolph","SW",2011,0.347
2011-08-18,60,"IN_Randolph","SW",2011,0.337
2011-08-18,100,"IN_Randolph","SW",2011,0.413
2011-08-19,10,"IN_Randolph","SW",2011,0.25
2011-08-19,20,"IN_Randolph","SW",2011,0.33
